chr:start:end,chr,start,end
20:63774949:63775444,20,63774949,63775444
1:110673090:110674045,1,110673090,110674045
17:6654697:6655852,17,6654697,6655852
22:49678424:49679064,22,49678424,49679064
20:62739666:62740902,20,62739666,62740902
21:46296140:46297064,21,46296140,46297064
7:73321411:73322280,7,73321411,73322280
8:97696642:97698315,8,97696642,97698315
15:100553148:100554026,15,100553148,100554026
11:783240:784010,11,783240,784010
10:89837467:89838382,10,89837467,89838382
18:69955129:69957896,18,69955129,69957896
14:97976423:97978698,14,97976423,97978698
22:29733447:29734690,22,29733447,29734690
16:31128368:31129950,16,31128368,31129950
3:28200436:28201197,3,28200436,28201197
17:82875427:82876459,17,82875427,82876459
2:69162899:69164849,2,69162899,69164849
20:433116:434447,20,433116,434447
22:49632432:49633152,22,49632432,49633152
12:122227224:122228398,12,122227224,122228398
16:11597483:11598922,16,11597483,11598922
14:63761133:63762207,14,63761133,63762207
6:116681985:116682956,6,116681985,116682956
2:112432313:112432752,2,112432313,112432752
19:13763964:13764417,19,13763964,13764417
7:101927307:101928222,7,101927307,101928222
5:14463415:14465237,5,14463415,14465237
12:4288725:4289868,12,4288725,4289868
20:40780797:40782581,20,40780797,40782581
1:203764786:203766501,1,203764786,203766501
2:85851606:85853698,2,85851606,85853698
8:140588518:140589422,8,140588518,140589422
21:36199705:36200759,21,36199705,36200759
19:19597727:19599342,19,19597727,19599342
19:50358415:50359092,19,50358415,50359092
2:239318886:239319969,2,239318886,239319969
3:4813430:4815012,3,4813430,4815012
22:37032228:37033465,22,37032228,37033465
21:29099332:29100322,21,29099332,29100322
2:42059635:42061344,2,42059635,42061344
16:10628455:10629685,16,10628455,10629685
9:130038072:130038881,9,130038072,130038881
12:131984768:131985796,12,131984768,131985796
21:38438443:38440103,21,38438443,38440103
4:190040653:190041721,4,190040653,190041721
2:170743756:170745778,2,170743756,170745778
11:75400639:75401504,11,75400639,75401504
10:110356072:110357607,10,110356072,110357607
22:21772374:21773727,22,21772374,21773727
4:185810999:185812625,4,185810999,185812625
7:102328010:102329649,7,102328010,102329649
1:77976232:77977669,1,77976232,77977669
7:158469355:158470936,7,158469355,158470936
14:21266045:21267022,14,21266045,21267022
1:10414168:10415376,1,10414168,10415376
19:1901631:1902433,19,1901631,1902433
4:879125:880112,4,879125,880112
17:8346812:8347739,17,8346812,8347739
2:232386504:232387103,2,232386504,232387103
13:110869501:110870357,13,110869501,110870357
17:82970720:82971456,17,82970720,82971456
20:56347451:56348948,20,56347451,56348948
5:27171380:27172611,5,27171380,27172611
20:38872161:38874018,20,38872161,38874018
12:122984211:122985122,12,122984211,122985122
16:89314366:89315647,16,89314366,89315647
6:26195713:26196566,6,26195713,26196566
1:208444995:208447389,1,208444995,208447389
16:12079426:12080844,16,12079426,12080844
14:101364532:101365178,14,101364532,101365178
10:6141197:6142485,10,6141197,6142485
13:110665537:110666707,13,110665537,110666707
19:29666595:29668652,19,29666595,29668652
4:10145414:10147585,4,10145414,10147585
17:46026157:46027863,17,46026157,46027863
16:596072:596699,16,596072,596699
11:330932:331502,11,330932,331502
6:5723676:5725030,6,5723676,5725030
20:234334:235591,20,234334,235591
17:21310688:21311593,17,21310688,21311593
17:76063548:76064713,17,76063548,76064713
9:129282069:129282829,9,129282069,129282829
7:1103116:1104109,7,1103116,1104109
6:2940272:2941176,6,2940272,2941176
7:157411493:157412332,7,157411493,157412332
11:60019179:60019913,11,60019179,60019913
8:30655640:30656963,8,30655640,30656963
11:13486950:13488069,11,13486950,13488069
8:22380499:22381263,8,22380499,22381263
10:30696343:30698103,10,30696343,30698103
2:163732288:163733820,2,163732288,163733820
2:240579798:240580828,2,240579798,240580828
11:1853788:1854756,11,1853788,1854756
3:130726678:130727609,3,130726678,130727609
2:121197356:121198303,2,121197356,121198303
19:48568339:48569138,19,48568339,48569138
9:92712915:92713560,9,92712915,92713560
20:64047902:64048372,20,64047902,64048372
10:62759765:62761413,10,62759765,62761413
12:108825592:108827099,12,108825592,108827099
7:1186795:1187718,7,1186795,1187718
10:6082569:6084356,10,6082569,6084356
1:16676501:16677729,1,16676501,16677729
20:62640973:62641584,20,62640973,62641584
22:21621762:21622811,22,21621762,21622811
17:81840753:81841711,17,81840753,81841711
18:12894117:12894775,18,12894117,12894775
15:66115568:66116582,15,66115568,66116582
21:46559162:46560580,21,46559162,46560580
19:2341375:2342017,19,2341375,2342017
1:1013817:1014605,1,1013817,1014605
18:3249353:3251636,18,3249353,3251636
20:50274825:50276450,20,50274825,50276450
